RCC ->
MDMA AHB3
DMA2D AHB3
JPGDECEN AHB3
FMC AHB3
QSPI AHB3
OSPI1 AHB3
OSPI2 AHB3
SDMMC1 AHB3
DMA1 AHB1
DMA2 AHB1
ADC12 AHB1
ART AHB1
CRC AHB1
ETH1MAC AHB1
ETH1TX AHB1
ETH1RX AHB1
USB1_OTG_HS AHB1
USB1_OTG_HS_ULPI AHB1
DCMI_PSSI AHB2
DCMI AHB2
CRYP AHB2
HASH AHB2
RNG AHB2
SDMMC2 AHB2
D2SRAM1 AHB2
AHBSRAM1 AHB2
D2SRAM2 AHB2
AHBSRAM2 AHB2
D2SRAM3 AHB2
HSEM AHB2
DCMI Unkn
BDMA Unkn
GPIOA AHB4
GPIOB AHB4
GPIOC AHB4
GPIOD AHB4
GPIOE AHB4
GPIOF AHB4
GPIOG AHB4
GPIOH AHB4
GPIOI AHB4
GPIOJ AHB4
GPIOK AHB4
CRC AHB4
BDMA AHB4
ADC3 AHB4
HSEM AHB4
SRDSRAM AHB4
BKPRAM AHB4
LTDC APB3
WWDG1 APB3
TIM2 APB1
TIM3 APB1
TIM4 APB1
TIM5 APB1
TIM6 APB1
TIM7 APB1
TIM12 APB1
TIM13 APB1
TIM14 APB1
LPTIM1 APB1
WWDG2 APB1
SPI2 APB1
SPI3 APB1
SPDIFRX APB1
USART2 APB1
USART3 APB1
UART4 APB1
UART5 APB1
I2C1 APB1
I2C2 APB1
I2C3 APB1
CEC APB1
DAC12 APB1
UART7 APB1
UART8 APB1
CRS APB1
SWPMI1 APB1
OPAMP APB1
MDIOS APB1
FDCAN APB1
TIM1 APB2
TIM8 APB2
USART1 APB2
USART6 APB2
SPI1 APB2
SPI4 APB2
TIM15 APB2
TIM16 APB2
TIM17 APB2
SPI5 APB2
SAI1 APB2
SAI2 APB2
SAI3 APB2
DFSDM1 APB2
HRTIM1 APB2
SYSCFG APB4
LPUART1 APB4
SPI6 APB4
I2C4 APB4
LPTIM2 APB4
LPTIM3 APB4
LPTIM4 APB4
LPTIM5 APB4
COMP12 APB4
VREF APB4
SAI4 APB4
RTC APB4
DFSDM2 APB4
